Index,URL,Num of Tables,Pictures of Tables,Dynamic Dropdown,Note
1,https://support.microsoft.com/en-us/office/introduction-to-tables-78ff21ea-2f76-4fb0-8af6-c318d1ee0ea7,1,0,No,-
2,https://support.microsoft.com/en-us/office/format-a-table-e6e77bc6-1f4e-467e-b818-2e2acc488006,1,0,No,-
3,https://support.microsoft.com/en-us/office/video-get-started-with-table-relationships-728d53ff-f332-4ac6-9382-574ee271500a,1,0,No,-
4,https://support.microsoft.com/en-us/office/resize-a-table-column-or-row-9340d478-21be-4392-81cf-488f7bbd6715,1,0,No,-
5,https://support.microsoft.com/en-us/office/using-structured-references-with-excel-tables-f5ed2452-2337-4f71-bed3-c8ae6d2b276e,7,0,No,-
6,https://support.microsoft.com/en-us/office/how-can-i-merge-two-or-more-tables-c80a9fce-c1ab-4425-bb96-497dd906d656,2,0,No,-
7,https://support.microsoft.com/en-us/office/create-a-form-that-contains-a-subform-a-one-to-many-form-ddf3822f-8aba-49cb-831a-1e74d6f5f06b,2,0,No,-
8,https://support.microsoft.com/en-us/office/relationships-between-tables-in-a-data-model-533dc2b6-9288-4363-9538-8ea6e469112b,6,0,Yes,-
9,https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929,1,0,No,-
10,https://support.microsoft.com/en-us/office/introduction-to-what-if-analysis-22bffa5f-e891-4acc-bf7a-e4645c446fb4,0,1,pictures of tables are present,-
11,https://support.microsoft.com/en-us/office/dataverse-system-tables-and-columns-5a6b5528-24d5-451a-ad7b-dc7a52dab470,2,0,Yes,Good example of Dynamic JS + tables
12,https://support.microsoft.com/en-us/office/calculate-values-in-a-pivottable-11f41417-da80-435c-a5c6-b0185e59da77,2,0,Yes,Good example of Dynamic JS + tables
13,https://support.microsoft.com/en-us/office/compare-two-tables-in-access-and-find-only-matching-data-16f301ac-40c1-43bc-80db-263f9a51eb4f,2,0,No,Large Tables are present 25+ rows
14,https://support.microsoft.com/en-us/office/add-records-to-a-table-by-using-an-append-query-98a5bd66-2190-4243-9638-8ef649cf3596,2,0,No,-
15,https://support.microsoft.com/en-us/office/subtotal-and-total-fields-in-a-pivottable-173f5b30-b546-4293-87d2-aee638f74e7d,3,0,Yes,Good example of Dynamic JS + tables
16,https://support.microsoft.com/en-us/office/what-is-the-relationships-window-20c66348-854f-47f8-819a-5cce2518ee1d,1,0,No,-
17,https://support.microsoft.com/en-us/office/use-the-name-manager-in-excel-4d8c4c2b-9f7d-44e3-a3b4-9f61bd5c64e4,2,0,Yes,-
18,https://support.microsoft.com/en-us/office/relationships-between-tables-in-a-data-model-533dc2b6-9288-4363-9538-8ea6e469112b,6,0,Yes,Good variety
